id,saleprice,lot_area,garage_area,gr_liv_area,overall_qual,total_bsmt_sf,age,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,not_remodeled,no_pool,no_fireplace
1934,136000,7942,293.0,1040,6,1040.0,54,0,0,0,0,0,1,0,0,0,0,0,1,1,1
997,173000,15038,386.0,1636,6,916.0,12,0,0,0,0,0,0,0,0,1,0,0,1,1,0
64,290000,11764,671.0,2270,8,1152.0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1799,303477,9000,550.0,2610,8,1184.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
230,270000,20062,690.0,1483,7,1420.0,33,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1295,122250,7308,225.0,1740,5,936.0,88,0,0,0,0,0,0,0,0,0,0,0,1,1,0
638,153000,8750,350.0,1382,5,1382.0,54,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2278,147000,8402,0.0,1120,5,1120.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2202,148500,4000,216.0,1098,7,531.0,77,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2833,130000,3363,380.0,1708,7,976.0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,1
1707,372000,13615,843.0,1802,9,1802.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2428,213490,3013,440.0,1506,7,1362.0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
242,308030,17485,572.0,1508,7,1508.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1564,300000,23730,786.0,2032,7,1840.0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2613,159500,8910,539.0,1194,6,655.0,47,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2832,137500,2522,380.0,1709,7,970.0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,1
2459,232000,8688,834.0,1616,7,1616.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1360,93850,6291,440.0,768,6,768.0,78,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2723,105000,17529,322.0,872,5,872.0,82,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1350,68500,6324,240.0,520,4,520.0,81,0,0,0,0,0,1,0,0,0,0,0,0,1,1
136,154300,11600,480.0,2274,5,1105.0,50,0,1,0,0,0,0,0,0,1,0,0,1,1,1
2235,129850,7288,0.0,1601,5,936.0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1993,114000,4571,480.0,1232,5,616.0,97,0,0,0,0,0,0,0,0,1,0,0,1,1,1
367,501837,17423,1166.0,2234,9,2216.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1309,153900,12665,720.0,1416,5,876.0,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0
402,130000,9000,576.0,864,4,864.0,38,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1592,160500,4500,392.0,1189,6,1189.0,11,0,0,0,1,0,1,0,0,0,0,0,1,1,1
2409,310090,6373,575.0,1666,9,1666.0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
539,184900,10083,555.0,1200,7,1176.0,6,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1940,132000,13300,252.0,928,5,928.0,51,0,0,0,0,0,1,0,0,0,0,0,0,1,1
588,163000,9600,502.0,1336,5,1288.0,40,0,0,0,0,0,1,0,0,0,0,0,1,1,0
96,155000,3215,480.0,1200,7,600.0,6,0,0,0,1,0,0,0,0,1,0,0,1,1,1
1187,183000,11104,516.0,1427,6,1427.0,39,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2154,211000,15295,608.0,1992,7,860.0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0
550,184000,9109,495.0,1540,7,754.0,15,0,0,0,0,0,0,0,0,1,0,0,1,1,1
811,118858,7018,400.0,1535,5,0.0,30,0,1,0,0,0,1,0,0,0,0,0,1,1,1
124,180500,14112,484.0,1152,5,1152.0,46,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1836,166000,3523,484.0,1151,8,1141.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
779,148000,15312,480.0,1138,6,1138.0,49,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1886,124000,7450,396.0,1074,5,894.0,51,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1724,277500,7313,556.0,1561,9,1561.0,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0
2450,350000,10019,725.0,2726,8,1342.0,11,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1013,387000,15401,670.0,1884,9,1884.0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2084,86000,9098,0.0,605,4,528.0,87,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1184,290000,16280,550.0,1671,8,1426.0,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0
728,44000,9392,0.0,797,3,245.0,109,0,0,0,0,0,1,0,0,0,0,0,1,1,1
950,215000,12209,560.0,1961,6,804.0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2524,146500,13110,501.0,1193,5,1153.0,34,1,0,0,0,0,1,0,0,0,0,0,1,1,1
2513,165000,2651,490.0,1382,7,673.0,6,0,0,1,0,0,0,0,0,1,0,0,1,1,1
2028,136000,8520,216.0,2526,6,714.0,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2309,252000,39384,550.0,1390,6,1705.0,49,0,0,0,0,0,1,0,0,0,0,0,1,1,0
51,175500,2628,474.0,1626,7,764.0,7,0,0,1,0,0,0,0,0,1,0,0,1,1,1
699,150000,6406,400.0,1558,5,690.0,70,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1881,139900,12342,286.0,1422,5,978.0,47,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1345,162900,6240,360.0,1573,5,1078.0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,160000,10000,440.0,1116,6,1116.0,48,0,0,0,0,0,1,0,0,0,0,0,1,1,1
781,63900,9000,0.0,660,2,0.0,62,0,0,0,0,0,1,0,0,0,0,0,0,1,1
379,184000,11088,479.0,1707,6,1140.0,31,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2818,149900,17755,528.0,1466,5,1466.0,47,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1168,300000,4765,495.0,1638,9,1614.0,8,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1396,145000,10532,626.0,1721,5,988.0,48,0,0,0,0,0,1,0,0,0,0,0,1,1,0
838,231500,15426,470.0,1764,6,928.0,12,0,0,0,0,0,0,0,0,1,0,0,1,1,1
1492,108000,13907,0.0,996,5,996.0,68,0,0,0,0,0,1,0,0,0,0,0,0,1,0
637,120000,8750,304.0,1202,5,1202.0,53,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1826,128500,9945,572.0,988,5,988.0,46,0,0,0,0,0,1,0,0,0,0,0,1,1,1
173,115000,8960,360.0,1028,5,1008.0,83,0,0,0,0,0,1,0,0,0,0,0,0,1,0
715,110000,3500,240.0,1284,5,720.0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1183,150000,24572,864.0,2944,9,994.0,31,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2433,178000,9056,403.0,1414,8,707.0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2866,199500,12320,579.0,1609,7,637.0,74,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2311,183500,8238,400.0,1525,6,813.0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1551,126000,6000,288.0,1656,5,624.0,41,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1049,148500,2529,440.0,1055,7,1055.0,31,0,0,1,0,0,1,0,0,0,0,0,1,1,1
657,149000,10800,720.0,1352,5,676.0,70,0,0,0,0,0,0,0,0,1,0,0,0,1,1
414,137900,2349,440.0,1456,6,855.0,32,0,0,1,0,0,0,0,0,1,0,0,1,1,0
1181,324000,10846,473.0,1719,8,1719.0,15,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1514,98000,5604,0.0,864,5,864.0,83,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1040,103400,1680,264.0,987,6,483.0,35,0,0,1,0,0,0,0,0,1,0,0,1,1,1
216,94000,6342,0.0,1020,5,780.0,135,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1720,209500,4590,627.0,1554,8,1554.0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0
2331,545224,18062,758.0,3390,10,1528.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
204,159900,12900,0.0,1560,6,780.0,98,0,0,0,0,0,0,0,0,1,0,0,0,1,1
19,141000,19138,400.0,864,4,864.0,59,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2438,215000,8658,431.0,1889,6,982.0,6,0,0,0,0,0,0,0,0,1,0,0,1,1,0
89,127000,6897,260.0,1040,5,1040.0,48,0,0,0,0,0,1,0,0,0,0,0,0,1,1
240,128000,9525,366.0,1172,5,1172.0,56,0,0,0,0,0,1,0,0,0,0,0,0,1,1
105,267916,12853,852.0,1418,8,1642.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2020,127500,6240,560.0,1367,6,884.0,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0
888,198500,7301,672.0,1922,7,0.0,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1019,175500,12090,576.0,1422,6,1422.0,27,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2132,217500,8826,486.0,1842,7,985.0,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0
203,149500,8094,572.0,1962,4,888.0,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0
420,148800,10710,656.0,1120,5,864.0,43,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2333,556581,16056,716.0,2868,9,1992.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
632,156500,8400,442.0,1478,6,1478.0,52,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2800,237000,11250,610.0,1995,7,930.0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1885,120000,7535,297.0,912,5,912.0,49,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1734,203000,12216,388.0,1326,6,1326.0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2327,130000,3701,461.0,1204,8,1191.0,19,0,0,0,1,0,1,0,0,0,0,0,1,1,1
1282,167900,9760,442.0,1611,6,780.0,44,0,0,0,0,0,0,0,0,1,0,0,1,1,1
2688,129000,9873,576.0,960,4,960.0,36,1,0,0,0,0,1,0,0,0,0,0,1,1,1
2581,134450,10011,447.0,1236,5,1070.0,49,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2067,112000,25339,576.0,1416,5,816.0,89,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2115,207000,8883,619.0,1873,7,929.0,19,0,0,0,0,0,0,0,0,1,0,0,1,1,0
754,62500,3000,0.0,2128,5,1040.0,87,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1079,154000,2448,474.0,1626,7,764.0,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2615,129900,7100,308.0,816,5,816.0,49,0,0,0,0,0,1,0,0,0,0,0,1,1,1
329,85000,2592,336.0,1112,5,536.0,34,0,0,0,1,0,0,0,0,1,0,0,1,1,1
1320,116900,5700,288.0,1111,7,572.0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0
416,148500,2289,440.0,1441,6,855.0,31,0,0,1,0,0,0,0,0,1,0,0,1,1,0
284,80000,12180,280.0,924,4,672.0,69,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1385,152000,7400,506.0,1126,5,1060.0,24,0,0,0,0,0,0,0,0,0,1,0,1,1,1
275,155891,8842,319.0,992,5,381.0,56,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2024,165000,8850,576.0,1376,6,768.0,87,0,0,0,0,0,0,0,0,0,0,0,1,1,1
68,204500,9215,676.0,1218,7,1218.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1910,146500,9480,312.0,1644,5,728.0,65,0,0,0,0,0,0,0,0,1,0,0,0,1,0
381,157000,11880,478.0,1601,7,1271.0,31,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1323,184000,10800,342.0,2495,7,1313.0,118,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2432,183200,7861,393.0,1509,6,783.0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
777,139000,11616,288.0,1092,5,1092.0,47,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1107,341000,10542,983.0,2418,7,1311.0,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,96000,1680,264.0,987,6,483.0,39,0,0,1,0,0,0,0,0,1,0,0,1,1,1
282,140000,8546,440.0,1121,4,1121.0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,1
188,149700,7407,923.0,1236,6,912.0,53,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2356,153500,10140,495.0,1074,5,1056.0,31,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1554,13100,14584,487.0,733,1,0.0,56,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1464,224900,8158,543.0,1768,7,884.0,5,0,0,0,0,0,0,0,0,1,0,0,1,1,1
2469,176000,7500,453.0,1266,7,1257.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1834,285000,10678,541.0,2872,8,1683.0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1779,282922,15256,754.0,1464,8,1485.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2569,226000,14200,487.0,2157,7,924.0,40,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2334,361919,12438,666.0,2576,8,1234.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2330,457347,16023,670.0,2798,9,1398.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2119,279000,20064,529.0,1743,8,966.0,31,0,0,0,0,0,1,0,0,0,0,0,1,1,0
988,196000,9819,714.0,1567,6,1567.0,32,0,0,0,0,0,1,0,0,0,0,0,1,1,0
382,152000,10400,479.0,1370,7,1090.0,33,0,0,0,0,0,1,0,0,0,0,0,1,1,0
670,200000,11643,968.0,2634,5,1248.0,40,0,1,0,0,0,0,0,0,1,0,0,1,1,1
2760,294900,11645,754.0,1590,8,1570.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
543,224243,7328,788.0,1450,7,1450.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2835,92000,7822,528.0,1338,6,832.0,91,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1735,179540,9018,400.0,1456,7,728.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
448,386250,13472,968.0,2392,10,2392.0,6,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2287,106500,1533,297.0,992,4,530.0,37,0,0,1,0,0,0,0,0,0,0,1,1,1,1
524,310000,11003,812.0,2007,10,1017.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1767,252000,10790,600.0,2385,7,1066.0,9,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2206,164000,7128,240.0,1646,7,918.0,66,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1740,177594,7713,400.0,1456,7,728.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
199,123900,6240,624.0,1040,5,528.0,74,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2214,239000,22420,864.0,2624,6,1370.0,89,0,0,0,0,0,0,0,0,1,0,0,0,1,0
323,169000,15300,528.0,1264,5,1068.0,45,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2421,234000,3196,420.0,1557,7,1374.0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0
952,173000,9360,541.0,1287,6,957.0,32,0,0,0,0,0,0,0,0,0,1,0,1,1,0
24,149000,11241,480.0,1004,6,1004.0,40,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1139,170000,9260,483.0,1162,7,1162.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
518,225000,7993,529.0,1436,7,1436.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1390,144900,9239,300.0,960,5,960.0,45,0,0,0,0,0,1,0,0,0,0,0,1,1,1
277,144000,10044,336.0,1196,5,1196.0,42,0,0,0,0,0,1,0,0,0,0,0,1,1,1
54,192000,3182,430.0,1269,8,1256.0,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0
649,145500,7626,230.0,1031,5,1031.0,57,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2600,86900,7008,280.0,720,4,448.0,106,0,0,0,0,0,0,0,0,0,0,0,0,1,1
617,149500,12160,505.0,1505,6,1505.0,56,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2209,119750,6305,240.0,954,5,920.0,69,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2814,173900,8846,564.0,1500,6,750.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2542,136500,10659,368.0,1050,5,1050.0,45,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2323,270000,13108,618.0,2687,8,2062.0,12,0,0,0,0,0,0,0,0,1,0,0,1,1,1
1393,235000,13500,564.0,1252,6,1602.0,48,0,0,0,0,0,1,0,0,0,0,0,0,1,0
490,156000,7750,400.0,1430,7,384.0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0
542,153000,12450,576.0,1114,5,1114.0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,1
973,165000,4500,402.0,1224,6,1224.0,10,0,0,0,1,0,1,0,0,0,0,0,1,1,1
1012,325000,11198,656.0,2504,9,1122.0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2218,140000,6221,528.0,1355,5,728.0,66,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2033,202500,13200,658.0,2294,6,741.0,44,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1071,367294,8769,1052.0,1702,9,1702.0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1583,175000,10200,600.0,1509,6,1461.0,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2858,140000,9550,642.0,1717,7,756.0,91,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2265,174000,10331,528.0,1240,7,1265.0,22,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1088,190000,9587,400.0,1166,7,856.0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1
698,129000,9900,0.0,1464,5,504.0,99,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1896,200000,22002,510.0,1652,6,1592.0,48,0,0,0,0,0,1,0,0,0,0,0,0,1,0
628,193500,13000,509.0,2142,6,896.0,41,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1212,145000,8250,504.0,1092,6,1092.0,44,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2864,218000,8170,451.0,1671,7,1022.0,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2740,135000,12048,569.0,1488,5,0.0,54,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2560,146500,10858,240.0,1624,5,1444.0,54,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1716,194700,7577,460.0,1362,6,1362.0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1130,230348,7500,462.0,1218,7,1218.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
201,109500,6120,288.0,1068,6,1124.0,87,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2886,242500,23580,576.0,1625,6,1625.0,27,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2328,239000,5306,504.0,1767,7,1064.0,19,0,0,0,1,0,0,0,0,1,0,0,1,1,0
2583,156000,8092,286.0,1050,6,1050.0,52,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1206,109008,8593,352.0,907,4,907.0,51,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2242,68104,11067,256.0,845,2,0.0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1105,290000,11929,751.0,2501,8,1242.0,13,0,0,0,0,0,0,0,0,1,0,0,1,1,0
121,159000,9900,504.0,1209,5,1209.0,44,0,0,0,0,0,1,0,0,0,0,0,1,1,1
1223,87000,4882,231.0,906,4,348.0,71,0,0,0,0,0,0,0,0,1,0,0,0,1,1
265,272000,11423,670.0,1601,8,1581.0,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2813,198000,8772,502.0,1336,7,1336.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1294,119164,7628,440.0,1656,4,801.0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2745,93000,8335,0.0,1124,5,0.0,52,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1094,226750,8220,431.0,1892,7,982.0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0
651,95000,10615,420.0,1699,3,978.0,109,1,0,0,0,0,0,0,0,1,0,0,1,1,1
198,139900,6000,312.0,1416,6,780.0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,1
131,76500,5350,0.0,1306,3,728.0,70,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1258,86900,5400,308.0,672,4,672.0,68,0,0,0,0,0,1,0,0,0,0,0,0,1,1
